word,meaning,last_time,interval
external,外部の（⇔ internal ⇒ 680）；対外的な,1785778369.7516713,64
recover,回復する；を取り戻す,1785775778.0754294,1024
penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く,1785782455.2379634,16
vertical,垂直の（⇔ horizontal 水平な）；縦方向の,1785776890.133215,128
execute,を実行する；を処刑する,1785778378.418468,64
sensitive,敏感な；神経質な；微妙な,1785778387.1580513,64
flee,（から）逃げる,1785776894.921557,128
expire,期限が切れる,1785784501.6396132,8
strip,を［から］取り去る；を裸にする,1785775668.5981667,4096
dispute,に異議を唱える；（を）議論する,1785780537.970683,32
renew,を更する；（資源）を再生する,1785775784.1800897,1024
specimen,標本；実例,1785780542.47624,32
advance,を進歩させる；を進める；進歩する；進む,1785776899.4153948,128
grasp,を把握［理解］する；をしっかり握る,1785775795.2862086,1024
monk,修道士，僧（⇔ nun 修道女，尼）,1785778394.2528396,64
myth,作り話；神話,1785776193.372945,256
sprawl,（都市などが）不規則に広がる；だらしなく手足を伸ばす,1785778398.405756,64
wealth,富；資源；富裕,1785778400.9786077,64
disregard,を無視する；を軽視する,1785778407.8022301,64
institution,機関；協会；施設；制度,1785928256.566711,2
recipient,受け取る人；（臓器などの）被提供者,1785776903.82613,128
usage,（使）用法；語法；習慣,1785785446.1813524,4
crucial,重要な,1785776911.4132733,128
scarce,乏しい；珍しい,1785780554.9174798,32
strive,努力する；争う,1785782472.8130178,16
destroy,を破壊する；（人）を破滅させる,1785776196.3616846,256
fascinate,を魅了する,1785782475.773285,16
nurture,をはぐくむ；を養成する,1785776922.7365968,128
allow,を許す；を与える；（～を）考慮に入れる（for）,1785776926.0210927,128
credit,（功績など）を（～に）帰する（to）；を信じる,1785776930.3179612,128
establish,を確立する；を設立する,1785778433.3846238,64
deposit,を置く；を預ける；を堆積させる,1785785450.1632133,4
deforestation,森林伐採,1785782482.4894083,16
congress,（米国などの）議会；会議,1785780558.8692982,32
shed,を捨て去る；（光など）を放つ；（涙・血）を流す,1785854655.842803,512
guarantee,を保証する,1785778439.1350358,64
resign,（を）辞任する；を放棄する,1785776204.9491935,256
geometry,幾何学,1785778646.0667622,64
thread,糸；（議論などの）筋道,1785778684.6855824,64
scratch,を引っかく；を取り消す，削除する,1785776935.1934545,128
obtain,を得る,1785775903.6512396,512
assert,を主張する,1785778689.8207502,64
limb,手足,1785776207.5334628,256
resource,〔通例～s〕資源；〔通例～s〕資金；才覚,1785775907.6951053,512
rage,激怒；猛威,1785778693.8470225,64
fertile,肥沃な（⇔ barren 不毛の）；多産の,1785784506.1109273,8
import,を輸入する（⇔ export （を）輸出する）；を取り込む,1785775702.4191134,2048
contain,を含む；を収容する；（感情など）を抑える,1785776940.2165194,128
endure,に耐える（≒ put up with）；（に）持ちこたえる,1785784509.9136338,8
motive,動機,1785776944.0100307,128
assign,を割り当てる；を（～に）配属する（to）,1785785792.3818617,2
startle,をびっくりさせる（≒ surprise）,1785784517.685257,8
hate,をひどく嫌う；を残念に思う,1785778697.1351542,64
apologize,（～に；～のことで）謝る（to；for）；弁明する,1785776210.42473,256
fiber,繊維（質）；本質；精神力,1785778701.019031,64
trace,（足跡・起源など）をたどる；を捜し出す,1785778707.4822602,64
particular,特定の；特別の；（～について）やかましい（about）,1785776949.6097493,128
transport,を輸送する；を運ぶ,1785776954.292793,128
associate,を結び付けて考える；（～と）交際する（with）,1785775913.7097423,512
stimulate,を刺激する,1785780567.7655857,32
furious,激怒した；猛烈な,1785780574.6104558,32
principle,原則，原理；主義，信条,1785778710.4725323,64
innocent,無罪の（⇔guilty 有罪の）；無邪気な；無知の,1785854615.2221437,2
complete,を完成させる，仕上げる,1785776214.3380554,256
drift,漂う；さまよう；を押し流す,1785778715.7323716,64
encourage,を奨励する；を励ます（⇔ discourage ⇒ 706）,1785775917.8378546,512
rumor,うわさ,1785776960.5769792,128
norm,規範；標準,1785854659.3297925,128
adolescent,青年；青年期の,1785784522.9831307,8
likewise,同様に（≒ in the same way）,1785776218.2485077,256
sight,光景；〔the ～s〕名所；見（え）ること；視野；視力,1785778722.0907066,64
insight,見識，理解（力）；洞察力,1785778726.9769976,64
monotonous,単調な,1785776222.0292976,256
questionnaire,アンケート,1785776224.6265132,256
abstract,抽象的な（⇔ concrete ⇒ 783）,1785775921.175724,512
submit,を提出する；〔submit oneselfで〕（～に）従う（to）,1785775925.3004274,512
consume,を消費する；を食べる，飲む,1785776964.9627318,128
interact,影響し合う；相互に作用する,1785776969.2500427,128
chronic,慢性の（⇔ acute ⇒ 1486）；長引く；常習の,1785782498.3168135,16
inherent,生来の，本来的に備わっている,1785776977.1068447,128
leak,漏れる；を漏らす,1785780578.525298,32
legal,法律の；合法の（⇔ illegal 違法の）,1785776227.7183535,256
manual,体［手］を使う；手の；手動式の,1785776981.6748798,128
versus,〔A ～ Bで〕A対B；AかBか,1785778730.5745249,64
retail,小売り（⇔ wholesale 卸売り）,1785780582.6524303,32
prejudice,（～に対する）偏見（against）（≒ bias）,1785780588.8310897,32
distinguish,を区別する,1785775798.2298625,1024
pray,（を）祈る,1785776230.5354817,256
worsen,を悪化させる；悪化する（≒ deteriorate）,1785776233.9385395,256
compete,競う；〔通例否定文で〕（～に）匹敵する（with）,1785776237.844566,256
region,地域；領域；部位,1785776985.6746147,128
probable,十分にありそうな,1785775937.4166052,512
uncover,を暴く（⇔ conceal ⇒ 1116）；を 発掘する,1785784528.812492,8
fate,運命；結末；最期,1785775677.038785,4096
construct,を建設する（＝ build）；を構成する,1785778740.5746145,64
candidate,（～の）候補（者）（for）；志願者,1785776990.8964648,128
neutral,中立の；（特徴・表情などが）はっきりしない,1785775942.3564181,512
capture,をとらえる；をとりこにする,1785777020.226911,128
bite,"""をかむ, …にかみつく, …をかみちぎる""",1785778743.058738,64
vessel,船舶；容器；（体液が通る）脈管,1785782503.254529,16
recession,不況；後退,1785784533.7650642,8
inspire,（人）を奮起させる；を喚起する,1785775946.1362236,512
significant,重要な，重大な；意義深い,1785778747.3508503,64
virtue,美徳（⇔vice 悪）；長所；効能,1785775949.0675254,512
solitude,ひとりでいること；孤独,1785782508.569709,16
compel,に強いる,1785775958.478364,512
enroll,登録する，入会する；を登録させる,1785778752.732367,64
advertise,を宣伝する；（～を求める）広告を出す（for）,1785777024.815927,128
various,さまざまな；いくつかの,1785777029.1999836,128
despite,～にもかかわらず（≒ in spite of）,1785780593.6977887,32
ancestor,祖先（⇔ descendant 子孫）；原型,1785777043.614766,128
neighborhood,地域；近所,1785776241.7329886,256
crush,を押しつぶす；を弾圧する；を絞り出す,1785778755.7423286,64
zealous,熱心な；熱狂的な,1785778759.4664338,64
delicate,繊細な；扱いにくい；もろい,1785777048.2055345,128
mutation,突然変異（体）；変化,1785780599.3642108,32
inspect,を点検する；を視察する,1785780612.6198685,32
plausible,もっともらしい,1785928264.192143,1
luxury,ぜいたく（品）；〔形容詞的に〕豪華な,1785778766.0669398,64
account,説明；勘定；口座,1785784537.162825,8
prevent,を妨げる；を防ぐ,1785777065.5092387,128
bill,請求書；【英】勘定書（≒ 【米】check）；法案,1785775707.7995958,2048
assure,に自信を持って言う；を保証する,1785784541.2877004,8
frontier,〔通例the ～s〕最先端；〔the ～〕 【米】辺境地；国境,1785778770.396957,64
survive,を切り抜けて生き残る；より長生きする；生き延びる,1785778780.916114,64
independent,（～から）独立した（of / from）,1785776246.375914,256
encounter,に遭遇する；に（思いがけず）出会う,1785776251.0002024,256
monument,記念碑，遺跡；金字塔,1785778785.1945558,64
disrupt,を混乱させる；を分裂させる,1785780618.3536873,32
transplant,を移植する；を移住させる,1785775993.0610094,512
ensure,を確実にする（≒ make sure）；を守る,1785775684.538372,4096
conclude,と結論づける；を締めくくる；を締結する,1785776007.0876856,512
complex,複雑な；複合（体）の,1785776254.4425945,256
implement,を実行［実施］する,1785782512.2776737,16
aggressive,攻撃的な；意欲的な,1785778788.9753413,64
orphan,孤児,1785782516.5425384,16
theft,窃盗（罪）,1785928266.9931219,2
thesis,論文；命題，テーゼ,1785777068.429165,128
cultivate,を養う；を耕す；を栽培する,1785782524.0013492,16
superstition,迷信,1785780625.9577963,32
deceive,をだます（≒ take in）,1785784546.4332259,8
postpone,を延期する（≒ put off）,1785778793.2787352,64
mere,単なる，ほんの,1785785808.620369,2
polish,を磨く；を洗練させる,1785928270.693808,2
sustain,を持続させる；を支える,1785776257.3143072,256
halt,を止める；止まる,1785782527.986295,16
illusion,錯覚，思い違い；幻想,1785778797.382341,64
register,を記録する，登録する；（～に）登録する（for）,1785928275.3174691,2
ample,十分すぎるほどの；広い,1785778801.117013,64
perpetual,永続的な；ひっきりなしの,1785782537.4344983,16
rural,田舎の（⇔ urban ⇒ 299），田園の,1785778806.525434,64
stretch,を伸ばす；を広げる；伸びる；及ぶ,1785777072.392058,128
bitter,苦い，つらい；辛辣な；怒りっぽい,1785778809.436954,64
mineral,鉱物；ミネラル,1785776260.6781306,256
graduate,卒業する; 学士号を取る,1785776264.9206498,256
flock,群がる，集まる,1785784565.4457629,8
vivid,鮮やかな；生き生きとした,1785777075.6565254,128
narrative,物語、話；（小説の）叙述部分、地の文,1785782543.0177932,16
revolution,革命；回転；（天体の）公転（⇔ rotation 自転）,1785777080.4703307,128
reconcile,を（～と）一致させる（with）；を和解させる,1785780635.5032804,32
regulate,を規制する；を調整する,1785778816.7690625,64
headline,（聞などの）見出し,1785777084.0705528,128
vain,無駄な；うぬぼれた,1785785814.2340407,2
actual,実際の，現実の,1785777087.6888485,128
invade,を侵略する；を侵害する；（場所）に殺到する,1785778824.937409,64
accelerate,を加速させる，促進する；加速する,1785777106.4218276,128
biological,生物学（上）の,1785777113.8235085,128
evil,邪悪な；有害な,1785776267.4805443,256
cereal,〔通例～s〕穀物；シリアル（穀物加工食品）,1785777120.0441484,128
notion,概念，観念；見解；意向,1785778839.2478683,64
vacuum,真空；空虚,1785778850.4910135,64
basin,流域；盆地，海盆；洗面器［台］,1785778866.4475257,64
reproduce,を複製する；を繁殖させる；繁殖する,1785775804.5098338,1024
lend,を貸す（⇔ borrow を借りる）；（人）に（助言・援助など）を与える,1785854677.7023067,1
modify,を修正する；を緩和する,1785775713.0380478,2048
connect,をつなぐ；を関連づける,1785778871.0715814,64
theory,学説；理論；原理；推測,1785777127.4049737,128
carriage,馬車；車両（＝ 【米】car）；立ち居振舞い；【英】輸送,1785778879.481639,64
radiation,放射能，放射線,1785777131.8497088,128
specialize,専門とする；【英】（～を）専攻する（in）（≒ 【米】major）,1785778886.5364377,64
hesitate,躊躇する，ためらう,1785778893.259143,64
disaster,災害；惨事,1785777136.6317563,128
classify,を分類する；を機密扱いにする,1785784570.1253667,8
diplomacy,外交（的手腕）,1785778900.4163282,64
repair,を修理する（≒ fix）；を修復する,1785776010.7254415,512
enormous,莫大な，巨大な,1785928278.4528966,2
grind,（穀物など）をひく,1785777140.1484601,128
misunderstand,（を）誤解する,1785778906.673114,64
pronounce,を発音する；を宣言する,1785776279.020054,256
extend,を伸［延］ばす；伸びる；及ぶ,1785775716.8726866,2048
isolate,を孤立させる,1785777147.2075229,128
advent,〔the ～〕出現，到来,1785928282.6241739,2
conform,順応する；一致する,1785780642.016084,32
certain,確信して；確かな；ある；一定の,1785777152.7723086,128
possible,可能な；可能性のある,1785778911.3595655,64
explore,（を）調査［探究］する；（を）探検［探査］する,1785777159.8579938,128
swallow,（を）飲み込む；をうのみにする；に耐える,1785778936.2434618,64
expose,をさらす；を暴露する；を露出する,1785778944.317322,64
accuse,を非難する；を告訴する,1785780647.6878872,32
artificial,人工の（⇔ natural 自然の）；不自然な,1785776292.2153883,256
dissolve,（を）溶かす；（議会など）を解散する；（契約など）を解消する；溶ける,1785780652.1955352,32
alien,（～にとって）異質の（to）；外国の；宇宙人の,1785777163.3048975,128
rare,まれな，珍しい；希少な,1785776298.5711486,256
profound,重大な；深い；難解な,1785782576.696644,16
demand,を要求する,1785776324.2911527,256
honor,光栄；名誉（⇔ dishonor 不名誉）；敬意,1785777167.286898,128
ease,を軽減する；和らぐ；緩む,1785777174.2605755,128
mention,に言及する；と言う,1785778954.0954196,64
excel,（～で）秀でている（in / at）；に勝る,1785785456.1937146,4
oblige,に義務づける；に恩恵を施す,1785782603.698848,16
divide,を分ける；分かれる,1785777178.1303585,128
uneasy,不安な；落ち着かない；ぎこちない,1785776350.6998093,256
identify,を特定する；を（～と）同一視する（with）,1785777182.1035147,128
scheme,計画（≒plan）；体系；陰謀,1785780656.8127964,32
cope,うまく処理する,1785778957.5631053,64
posture,姿勢；心構え,1785928286.6551178,2
output,生産（高）；出力；排出（量）,1785778969.0259473,64
sweep,（を）掃く；を一掃する；さっと通過する,1785776013.8837705,512
feat,偉業，功績；妙技,1785777186.9216616,128
passive,受動的な；消極的な,1785778981.1963637,64
fasten,"""を留める, 締める, 結ぶ""",1785782607.5916603,16
toll,損害（の程度）；死傷者数；通行料,1785780887.5695014,32
generous,寛大な；気前のよい（⇔ stingy けちな）；豊富な,1785778985.5258622,64
budget,予算；経費,1785778989.1869755,64
infrastructure,インフラ、基本的施設；（経済）基盤,1785782616.8302999,16
address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）,1785777192.0770245,128
dose,（薬の1回分の）服用量；放射線の1回の照射量,1785780892.1971214,32
employ,を雇う（≒ give ～ a job）；を使う（≒ use）,1785776017.016771,512
breakthrough,大発見，飛躍的進歩,1785777196.7175019,128
cure,を治す；を取り除く；（病気が）治る,1785776356.2846758,256
hierarchy,（社会の）階層制；〔the ～〕支配層,1785776363.6988642,256
warn,（人）に（～を）警告［注意］する（of / against）,1785778997.2210312,64
defeat,を負かす（≒ beat）；を失敗させる,1785775810.5202105,1024
stern,厳しい；いかめしい,1785784580.5159628,8
wonder,かなと思う；（に）驚く（at）,1785779001.1830747,64
afford,を持つ［する］余裕がある；を与える,1785784589.5369842,8
formula,方法，解決策；公式,1785784594.6291602,8
decorate,を装飾する,1785775815.0877972,1024
monetary,金銭的な；金融の,1785779007.026329,64
prohibit,を禁止する,1785776022.163136,512
legislation,法律；立法,1785928290.2286794,2
criticize,を批判する；を批評する,1785779021.3090463,64
court,裁判所，法廷；裁判；宮廷；中庭,1785777201.9702132,128
deliberate,故意の；慎重な,1785785820.709373,2
exotic,外来の；異国風の,1785776369.5072553,256
reserve,を予約する；を取っておく；（判断など）を保留する,1785779024.7460225,64
outcome,結果（≒ result）；成果,1785776375.1346216,256
patch,（～の）部分，斑点；継ぎ；貼り薬,1785776025.7074022,512
recommend,を勧める,1785779028.2403786,64
conservation,（動植物などの）保護；保存,1785780897.0142503,32
tablet,タブレット（型情報端末）；錠剤；平板,1785776378.1545205,256
regret,を後悔する,1785776382.112978,256
regain,を取り戻す,1785928299.4484987,2
nutrition,栄養（の摂取）,1785780900.9645553,32
burden,負担；（重い）義務；積み荷,1785780904.2087493,32
wound,（銃弾・刃物などによる）傷；痛手,1785780909.3836133,32
temporary,一時的な（⇔ permanent ⇒ 690）,1785777208.1236753,128
remedy,治療（法）；治療薬；解決法,1785782624.493485,16
bulk,〔the ～〕（～の）大半（of）；大きさ；大量,1785780914.1553044,32
physical,身体の（⇔ mental ⇒ 183）；物質的な；物理学の,1785777212.5764942,128
available,手に入る；利用できる；手が空いている,1785779032.4898427,64
humid,湿気のある（≒ muggy 蒸し暑い）,1785776385.2180688,256
native,出生地の；原産の；生得の,1785777219.9576247,128
pollution,汚染，公害,1785777222.861034,128
temper,気質，気性；機嫌；かんしゃく,1785779035.7096872,64
ingredient,材料，成分；（成功の）要因,1785779039.927781,64
term,（専門）用語；〔～s〕条件；〔～s〕間柄；学期,1785779043.3126943,64
superior,よりすぐれた（⇔ inferior ⇒ 1092）,1785775818.559169,1024
omit,を除外する; あえて省く; うっかり落とす,1785777228.8926497,128
vocational,職業の，職業訓練の（ための）,1785928303.510083,2
treaty,（国家間の）条約；協定,1785779048.5217342,64
weave,を織る；（計画・物語など）を作り上げる,1785780917.7650108,32
clue,（～の）手がかり（to / about）；（パズルの）ヒント,1785776030.4420109,512
glimpse,ちらりと見えること,1785779052.3670146,64
sufficient,（～に；...するのに）十分な（for；to do）,1785777234.0027552,128
burst,破裂する；（～を）突然始める（into）,1785779056.2771482,64
betray,をうっかり表す；を裏切る,1785779060.1821558,64
nuclear,核の，原子力の,1785779063.4492545,64
friction,不和；摩擦,1785779067.311557,64
academic,学問の；大学の,1785776035.9719648,512
nationality,国籍；国民；国民性,1785779071.031242,64
stroke,脳卒中；（ボールを）打つこと；（雷などの）一撃,1785777237.4458957,128
accompany,に同行する；に付随する,1785780921.9140484,32
dignity,尊厳；威厳,1785785823.7173765,2
profession,職業；専門職；同業者仲間,1785777242.0802882,128
antique,骨董の，アンティークの；古風な,1785776389.098721,256
contemporary,現代の；同時代の；同年輩の,1785779074.679556,64
legacy,遺産,1785779078.6972117,64
sacred,神聖な（≒holy）；宗教的な；厳粛な,1785776393.3105052,256
rush,急いで行く；性急に行動する；をせき立てる,1785777245.0621538,128
heal,（人・傷など）を治す；治る,1785776396.639326,256
controversy,論争,1785785832.5228615,2
nightmare,悪夢（のような状況）；不安感,1785779082.5834339,64
deficit,赤字，不足；欠陥,1785784603.930353,8
prepare,を準備する；を調理する；（～のために）準備をする（for）,1785776400.2081234,256
determine,を決定する；を正確に知る,1785782627.8948405,16
delight,を喜ばせる；（～を）大いに喜ぶ（in）,1785784608.57227,8
hollow,空洞の；空虚な；うわべだけの,1785777249.260681,128
hostile,敵意のある（⇔friendly 友好的な）,1785780925.617449,32
bend,を曲げる；を屈服させる；曲がる,1785779086.0243912,64
detect,を感知する；を見つけ出す；に気づく,1785779092.2326188,64
improve,を向上させる；よくなる,1785779098.1021984,64
altitude,高度，標高,1785782634.2069235,16
principal,主要な；資本金の,1785776404.217595,256
drag,を引きずる；ぐずぐずする,1785776039.8966894,512
spoil,を台無しにする；を甘やかす；だめになる,1785775723.5033746,2048
tidy,きちんとした，整頓された；相当の,1785777253.8151538,128
greet,に挨拶する；を迎える,1785779102.0230713,64
offer,を提供する，申し出る,1785779104.9619727,64
shield,盾，防御物,1785780928.6515827,32
vanish,消える（≒ disappear）,1785782637.4105322,16
category,部類，区分；範疇,1785777258.2798548,128
figure,数字；姿；人物；図表,1785777262.05748,128
necessary,必要な（≒ essential ⇒ 186）,1785779108.0489848,64
syndrome,症候群；～現象,1785780931.5949244,32
authentic,本物の；信頼できる,1785784611.810899,8
grateful,感謝している,1785779111.3982148,64
confront,に立ち向かう；（困難などが）に立ちはだかる,1785780936.9580348,32
adjust,を調整する；を適合させる；順応する,1785779119.642434,64
method,方法；体系；秩序,1785777266.5745971,128
evolve,（徐々に）発展する；進化する,1785782642.1936393,16
obscure,（世に）知られていない；不明瞭な,1785928308.7766838,2
merge,（を）合併する；を融合させる；溶け込む,1785780940.1817434,32
opportunity,機会（≒ chance）,1785779125.394124,64
retire,（～から）引退する，退職する（from）；退く,1785780942.8112502,32
habit,習慣，癖,1785777269.4929876,128
keen,熱心な；鋭敏な；（感情・関心などが）強い,1785777275.0381038,128
mild,穏やかな；（程度が）軽い,1785779129.9032662,64
aid,を援助する，助ける（≒ help）,1785780945.9382641,32
flavor,風味；特色,1785776408.5085325,256
geography,〔the ～〕地理；地理学,1785779133.6006486,64
current,現在の；現代の；通用している,1785779137.6074579,64
virus,ウイルス；（感染症の）病原体,1785777279.2989995,128
advocate,を主張する；を擁護する,1785928314.7206984,2
value,価値；価格；評価；〔～s〕価値観,1785777283.5157828,128
dedicate,をささげる；を献呈する,1785928319.8342261,2
obese,肥満した,1785784614.9108827,8
discourage,（人）にやる気をなくさせる；を落胆させる（⇔ encourage ⇒ 30）,1785775827.9286625,1024
target,（到達・攻撃）目標；的,1785776411.6526244,256
differ,異なる,1785776044.049847,512
incorporate,を取り入れる；を法人にする；合併する,1785776048.9997883,512
exploit,を活用する；を搾取する，につけ込む,1785777295.505763,128
index,指標；索引；指数,1785854623.018907,128
entertain,を楽しませる；をもてなす,1785928322.9891613,2
obsolete,廃れた，使われなくなった；古くなった,1785782647.4516969,16
exert,を及ぼす；（力など）を行使する,1785782659.3409705,16
option,選択（の自由）；選択肢,1785779165.6691763,64
logic,論理；道理；論理学,1785776419.3348684,256
tragedy,悲劇（的な事態）（⇔ comedy 喜劇）,1785785465.6766376,4
literal,文字どおりの；逐語的な；散文的な,1785776422.2589576,256
solid,しっかりした；硬い；固体の,1785784617.911456,8
divert,（注意など）をそらす；を迂回させる；（資金など）を転用する,1785782663.1430712,16
ideology,イデオロギー，思想傾向,1785776051.7551694,512
discharge,"""を解放する; …を退院させる, 釈放する; …を免除する""",1785777582.9241967,128
own,を所有している；（事実・罪など）を認める,1785779169.7219014,64
supply,を供給する,1785777588.2829473,128
gross,総計の；甚だしい；粗野な,1785780959.266752,32
ultimate,究極の,1785776427.5936286,256
justify,を正当化する,1785775738.5491283,2048
tribe,部族；仲間,1785779173.513498,64
convenient,便利な，都合のいい,1785779177.6244361,64
embark,（～に）乗り出す（on）；乗船［搭乗］する,1785776432.227542,256
retain,を保持する；を覚えている,1785776439.3581736,256
disclose,を公表する，暴く,1785784622.7958972,8
reckless,無謀な；（～を）顧みない（of）,1785782675.532693,16
pile,を積み重ねる；積み重なる,1785779182.8907013,64
descend,（を）降りる（⇔ ascend ⇒ 1839）；受け継がれる,1785784629.1291988,8
prime,主要な，最も重要な；最適な；極上の,1785779191.5464673,64
eventually,結局（は）,1785776055.9158268,512
intermediate,中級の；中間の,1785777596.3181775,128
yell,叫ぶ，どなる,1785776058.6850083,512
accomplish,を成し遂げる,1785779195.765446,64
sensation,感覚；大評判,1785776444.5346463,256
trail,（野山などの）小道；跡；手がかり,1785777604.0256748,128
reinforce,を強化する；を補強する,1785782716.9667227,16
row,列；（建物が並ぶ）通り,1785779203.3308542,64
await,を待つ（≒ wait for）,1785779208.740229,64
resort,（好ましくない手段に）訴える，頼る（to）,1785777623.8470473,128
aspire,（～を）熱望する（to）,1785776064.6848383,512
medium,（情報伝達の）媒体；手段,1785779213.993957,64
